iter	Passed	Remaining
0	57	57774
1	112	56283
2	168	55963
3	221	55217
4	274	54558
5	328	54445
6	384	54485
7	437	54206
8	494	54398
9	550	54546
10	611	54998
11	669	55087
12	728	55279
13	793	55864
14	856	56222
15	907	55816
16	960	55523
17	1022	55794
18	1086	56115
19	1149	56344
20	1209	56400
21	1270	56474
22	1332	56584
23	1395	56736
24	1454	56734
25	1520	56946
26	1584	57093
27	1638	56885
28	1689	56572
29	1737	56188
30	1792	56017
31	1852	56023
32	1903	55784
33	1956	55583
34	2146	59179
35	2203	59005
36	2256	58725
37	2307	58408
38	2356	58068
39	2411	57864
40	2459	57532
41	2512	57306
42	2569	57175
43	2627	57082
44	2687	57035
45	2750	57034
46	2804	56869
47	2858	56689
48	2907	56425
49	2958	56214
50	3015	56107
51	3081	56182
52	3164	56545
53	3220	56424
54	3270	56186
55	3320	55972
56	3370	55768
57	3430	55709
58	3491	55684
59	3550	55631
60	3615	55655
61	3671	55549
62	3720	55340
63	3773	55185
64	3825	55025
65	3875	54846
66	3927	54693
67	3981	54567
68	4036	54467
69	4095	54410
70	4155	54367
71	4218	54373
72	4281	54374
73	4345	54373
74	4403	54306
75	4462	54257
76	4522	54213
77	4586	54216
78	4651	54223
79	4710	54170
80	4778	54211
81	4835	54131
82	4889	54021
83	4944	53921
84	5001	53842
85	5056	53743
86	5110	53630
87	5170	53582
88	5239	53631
89	5301	53606
90	5360	53550
91	5419	53483
92	5486	53508
93	5543	53429
94	5600	53348
95	5652	53228
96	5706	53123
97	5760	53024
98	5814	52922
99	5870	52836
100	5928	52769
101	5986	52704
102	6046	52658
103	6105	52601
104	6168	52575
105	6227	52525
106	6289	52491
107	6349	52444
108	6407	52380
109	6467	52325
110	6529	52296
111	6593	52277
112	6662	52294
113	6729	52303
114	6795	52294
115	6846	52177
116	6899	52073
117	6956	51998
118	7011	51910
119	7071	51856
120	7130	51801
121	7192	51758
122	7259	51764
123	7322	51733
124	7383	51687
125	7448	51664
126	7506	51600
127	7565	51542
128	7624	51477
129	7687	51448
130	7756	51454
131	7816	51402
132	7875	51338
133	7935	51285
134	7994	51227
135	8049	51136
136	8101	51035
137	8151	50917
138	8204	50818
139	8259	50736
140	8314	50652
141	8375	50607
142	8435	50551
143	8494	50494
144	8557	50458
145	8619	50419
146	8677	50352
147	8737	50301
148	8795	50234
149	8854	50172
150	8906	50079
151	8962	50002
152	9022	49946
153	9088	49930
154	9184	50071
155	9257	50087
156	9322	50054
157	9392	50055
158	9471	50096
159	9539	50081
160	9590	49978
161	9644	49890
162	9697	49795
163	9754	49721
164	9807	49632
165	9864	49562
166	9923	49500
167	9985	49449
168	10046	49400
169	10104	49331
170	10164	49276
171	10219	49195
172	10281	49146
173	10355	49159
174	10429	49168
175	10501	49165
176	10573	49163
177	10647	49172
178	10712	49134
179	10763	49033
180	10812	48923
181	10866	48840
182	10918	48747
183	10973	48665
184	11027	48582
185	11092	48543
186	11159	48518
187	11225	48484
188	11280	48402
189	11334	48321
190	11394	48263
191	11456	48212
192	11518	48161
193	11579	48106
194	11637	48040
195	11695	47975
196	11755	47915
197	11808	47828
198	11861	47744
199	11916	47664
200	11972	47592
201	12032	47535
202	12091	47470
203	12144	47388
204	12194	47291
205	12244	47196
206	12293	47095
207	12344	47002
208	12392	46899
209	12443	46811
210	12493	46715
211	12550	46649
212	12605	46576
213	12666	46524
214	12735	46499
215	12791	46430
216	12842	46338
217	12892	46248
218	12949	46179
219	13004	46105
220	13053	46010
221	13106	45933
222	13162	45863
223	13220	45801
224	13279	45741
225	13344	45702
226	13406	45652
227	13469	45606
228	13535	45571
229	13601	45535
230	13671	45511
231	13738	45478
232	13787	45385
233	13838	45300
234	13888	45211
235	13939	45126
